date,time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,Trial,activity,activity_number
2019-01-14,19:45:09,-1.14,-8.92,0.23,1.1899998999999999,-0.47,0.94,1.1899998999999999,-0.47,0.94,2,Walking,1
2019-01-14,19:45:09,-0.92,-8.12,0.16,1.1899998999999999,-0.47,0.94,1.1899998999999999,-0.47,0.94,2,Walking,1
2019-01-14,19:45:09,-0.92,-8.12,0.16,0.96,-0.32999998,0.78,0.96,-0.32999998,0.78,2,Walking,1
2019-01-14,19:45:09,-0.67,-8.04,0.11,0.96,-0.32999998,0.78,0.96,-0.32999998,0.78,2,Walking,1
2019-01-14,19:45:09,-0.67,-8.04,0.11,0.63,-0.26,0.57,0.63,-0.26,0.57,2,Walking,1
2019-01-14,19:45:09,-0.51,-9.09,0.13,0.63,-0.26,0.57,0.63,-0.26,0.57,2,Walking,1
2019-01-14,19:45:09,-0.51,-9.09,0.13,0.04,-0.19,-0.049999997000000004,0.04,-0.19,-0.049999997000000004,2,Walking,1
2019-01-14,19:45:09,-0.64,-11.639999000000001,0.51,0.04,-0.19,-0.049999997000000004,0.04,-0.19,-0.049999997000000004,2,Walking,1
2019-01-14,19:45:09,-0.64,-11.639999000000001,0.51,-0.85999995,0.12,-0.83,-0.85999995,0.12,-0.83,2,Walking,1
2019-01-14,19:45:09,-1.49,-12.66,0.65,-0.85999995,0.12,-0.83,-0.85999995,0.12,-0.83,2,Walking,1
2019-01-14,19:45:09,-1.49,-12.66,0.65,-1.48,0.63,-1.51,-1.48,0.63,-1.51,2,Walking,1
2019-01-14,19:45:09,-1.88,-12.309999000000001,1.97,-1.48,0.63,-1.51,-1.48,0.63,-1.51,2,Walking,1
2019-01-14,19:45:09,-1.88,-12.309999000000001,1.97,-1.8299999,0.68,-1.68,-1.8299999,0.68,-1.68,2,Walking,1
2019-01-14,19:45:10,-2.16,-11.059999000000001,2.85,-1.8299999,0.68,-1.68,-1.8299999,0.68,-1.68,2,Walking,1
2019-01-14,19:45:10,-2.16,-11.059999000000001,2.85,-1.87,0.85999995,-1.48,-1.87,0.85999995,-1.48,2,Walking,1
2019-01-14,19:45:10,-2.66,-10.83,2.7,-1.87,0.85999995,-1.48,-1.87,0.85999995,-1.48,2,Walking,1
2019-01-14,19:45:10,-2.66,-10.83,2.7,-1.4399998999999999,0.77,-1.0799999,-1.4399998999999999,0.77,-1.0799999,2,Walking,1
2019-01-14,19:45:10,-1.9499999,-10.860000999999999,2.1,-1.4399998999999999,0.77,-1.0799999,-1.4399998999999999,0.77,-1.0799999,2,Walking,1
2019-01-14,19:45:10,-1.9499999,-10.860000999999999,2.1,-0.63,0.39,-0.45999998,-0.63,0.39,-0.45999998,2,Walking,1
2019-01-14,19:45:10,-1.98,-10.41,1.9,-0.56,0.69,-0.22,-0.56,0.69,-0.22,2,Walking,1
2019-01-14,19:45:10,-1.98,-10.41,1.9,-0.56,0.69,-0.22,-0.56,0.69,-0.22,2,Walking,1
2019-01-14,19:45:10,-1.88,-9.949999,1.96,-0.56,0.69,-0.22,-0.56,0.69,-0.22,2,Walking,1
2019-01-14,19:45:10,-1.88,-9.949999,1.96,-0.51,0.82,-0.13,-0.51,0.82,-0.13,2,Walking,1
2019-01-14,19:45:10,-1.99,-9.309999000000001,1.92,-0.51,0.82,-0.13,-0.51,0.82,-0.13,2,Walking,1
2019-01-14,19:45:10,-1.99,-9.309999000000001,1.92,-0.42,0.98999995,-0.06,-0.42,0.98999995,-0.06,2,Walking,1
2019-01-14,19:45:10,-1.75,-9.51,2.23,-0.42,0.98999995,-0.06,-0.42,0.98999995,-0.06,2,Walking,1
2019-01-14,19:45:10,-1.75,-9.51,2.23,-0.37,1.03,0.0,-0.37,1.03,0.0,2,Walking,1
2019-01-14,19:45:10,-2.15,-10.1,2.04,-0.37,1.03,0.0,-0.37,1.03,0.0,2,Walking,1
2019-01-14,19:45:10,-2.15,-10.1,2.04,-0.32999998,1.05,0.03,-0.32999998,1.05,0.03,2,Walking,1
2019-01-14,19:45:10,-2.1399999,-10.41,2.48,-0.32999998,1.05,0.03,-0.32999998,1.05,0.03,2,Walking,1
2019-01-14,19:45:10,-2.1399999,-10.41,2.48,-0.29999998,0.81,0.0,-0.29999998,0.81,0.0,2,Walking,1
2019-01-14,19:45:10,-2.09,-10.24,2.68,-0.29999998,0.81,0.0,-0.29999998,0.81,0.0,2,Walking,1
2019-01-14,19:45:10,-2.09,-10.24,2.68,-0.25,0.57,0.12,-0.25,0.57,0.12,2,Walking,1
2019-01-14,19:45:10,-2.08,-10.809999000000001,2.25,-0.25,0.57,0.12,-0.25,0.57,0.12,2,Walking,1
2019-01-14,19:45:10,-2.08,-10.809999000000001,2.25,0.01,-0.02,0.19999999,0.01,-0.02,0.19999999,2,Walking,1
2019-01-14,19:45:10,-1.9499999,-12.02,2.05,0.01,-0.02,0.19999999,0.01,-0.02,0.19999999,2,Walking,1
2019-01-14,19:45:10,-1.9499999,-12.02,2.05,0.07,-0.38,0.19,0.07,-0.38,0.19,2,Walking,1
2019-01-14,19:45:10,-2.54,-13.41,1.41,0.07,-0.38,0.19,0.07,-0.38,0.19,2,Walking,1
2019-01-14,19:45:10,-2.54,-13.41,1.41,0.25,-0.24,0.25,0.25,-0.24,0.25,2,Walking,1
2019-01-14,19:45:10,-2.9099998,-13.119998999999998,0.92999995,0.25,-0.24,0.25,0.25,-0.24,0.25,2,Walking,1
2019-01-14,19:45:10,-2.9099998,-13.119998999999998,0.92999995,0.31,-0.04,0.35999998,0.31,-0.04,0.35999998,2,Walking,1
2019-01-14,19:45:10,-3.1,-11.35,1.09,0.31,-0.04,0.35999998,0.31,-0.04,0.35999998,2,Walking,1
2019-01-14,19:45:10,-3.1,-11.35,1.09,0.39999998,-0.42,0.47,0.39999998,-0.42,0.47,2,Walking,1
2019-01-14,19:45:10,-2.35,-10.690000999999999,1.1,0.39999998,-0.42,0.47,0.39999998,-0.42,0.47,2,Walking,1
2019-01-14,19:45:10,-2.35,-10.690000999999999,1.1,0.65,-0.98999995,0.85999995,0.65,-0.98999995,0.85999995,2,Walking,1
2019-01-14,19:45:10,-2.23,-10.93,0.52,0.65,-0.98999995,0.85999995,0.65,-0.98999995,0.85999995,2,Walking,1
2019-01-14,19:45:10,-2.23,-10.93,0.52,0.87,-1.17,1.03,0.87,-1.17,1.03,2,Walking,1
2019-01-14,19:45:10,-2.15,-11.32,0.06999999,0.87,-1.17,1.03,0.87,-1.17,1.03,2,Walking,1
2019-01-14,19:45:10,-2.15,-11.32,0.06999999,1.02,-1.3399999,0.98999995,1.02,-1.3399999,0.98999995,2,Walking,1
2019-01-14,19:45:10,-1.89,-10.549999,0.029999997,1.02,-1.3399999,0.98999995,1.02,-1.3399999,0.98999995,2,Walking,1
2019-01-14,19:45:10,-1.89,-10.549999,0.029999997,0.9,-0.98999995,0.83,0.9,-0.98999995,0.83,2,Walking,1
2019-01-14,19:45:10,-1.51,-9.43,0.26,0.9,-0.98999995,0.83,0.9,-0.98999995,0.83,2,Walking,1
2019-01-14,19:45:10,-1.51,-9.43,0.26,0.71999997,-0.34,0.74,0.71999997,-0.34,0.74,2,Walking,1
2019-01-14,19:45:10,-1.6,-8.76,0.14,0.71999997,-0.34,0.74,0.71999997,-0.34,0.74,2,Walking,1
2019-01-14,19:45:10,-1.6,-8.76,0.14,0.53999996,-0.04,0.64,0.53999996,-0.04,0.64,2,Walking,1
2019-01-14,19:45:11,-1.36,-8.35,0.24999999,0.53999996,-0.04,0.64,0.53999996,-0.04,0.64,2,Walking,1
2019-01-14,19:45:11,-1.36,-8.35,0.24999999,0.32999998,-0.29999998,0.39999998,0.32999998,-0.29999998,0.39999998,2,Walking,1
2019-01-14,19:45:11,-0.96,-8.58,0.58,0.32999998,-0.29999998,0.39999998,0.32999998,-0.29999998,0.39999998,2,Walking,1
2019-01-14,19:45:11,-0.96,-8.58,0.58,-0.09999999400000001,-0.42,0.01,-0.09999999400000001,-0.42,0.01,2,Walking,1
2019-01-14,19:45:11,-0.99,-9.469999000000001,0.59,-0.09999999400000001,-0.42,0.01,-0.09999999400000001,-0.42,0.01,2,Walking,1
2019-01-14,19:45:11,-0.99,-9.469999000000001,0.59,-0.35,-0.21,-0.29999998,-0.35,-0.21,-0.29999998,2,Walking,1
2019-01-14,19:45:11,-1.32,-10.92,0.65999997,-0.35,-0.21,-0.29999998,-0.35,-0.21,-0.29999998,2,Walking,1
2019-01-14,19:45:11,-1.32,-10.92,0.65999997,-0.59999996,0.07,-0.61,-0.59999996,0.07,-0.61,2,Walking,1
2019-01-14,19:45:11,-1.58,-12.74,1.0600001000000001,-0.59999996,0.07,-0.61,-0.59999996,0.07,-0.61,2,Walking,1
2019-01-14,19:45:11,-1.58,-12.74,1.0600001000000001,-0.9,0.44,-0.98999995,-0.9,0.44,-0.98999995,2,Walking,1
2019-01-14,19:45:11,-2.2,-13.309999,0.98999995,-0.9,0.44,-0.98999995,-0.9,0.44,-0.98999995,2,Walking,1
2019-01-14,19:45:11,-2.2,-13.309999,0.98999995,-0.89,0.78,-1.26,-0.89,0.78,-1.26,2,Walking,1
2019-01-14,19:45:11,-2.81,-11.32,1.86,-0.95,1.16,-1.23,-0.95,1.16,-1.23,2,Walking,1
2019-01-14,19:45:11,-2.81,-11.32,1.86,-0.95,1.16,-1.23,-0.95,1.16,-1.23,2,Walking,1
2019-01-14,19:45:11,-2.93,-9.280000999999999,2.19,-0.95,1.16,-1.23,-0.95,1.16,-1.23,2,Walking,1
2019-01-14,19:45:11,-2.93,-9.280000999999999,2.19,-0.71,0.96,-0.83,-0.71,0.96,-0.83,2,Walking,1
2019-01-14,19:45:11,-2.12,-9.889999000000001,1.94,-0.71,0.96,-0.83,-0.71,0.96,-0.83,2,Walking,1
2019-01-14,19:45:11,-2.12,-9.889999000000001,1.94,-0.14,0.45999998,-0.26,-0.14,0.45999998,-0.26,2,Walking,1
2019-01-14,19:45:11,-2.37,-10.18,1.34,-0.14,0.45999998,-0.26,-0.14,0.45999998,-0.26,2,Walking,1
2019-01-14,19:45:11,-2.37,-10.18,1.34,0.04,0.61,-0.08,0.04,0.61,-0.08,2,Walking,1
2019-01-14,19:45:11,-2.1,-9.84,0.84,0.04,0.61,-0.08,0.04,0.61,-0.08,2,Walking,1
2019-01-14,19:45:11,-2.1,-9.84,0.84,0.19,0.7,0.01,0.19,0.7,0.01,2,Walking,1
2019-01-14,19:45:11,-2.22,-9.49,0.77,0.19,0.7,0.01,0.19,0.7,0.01,2,Walking,1
2019-01-14,19:45:11,-2.22,-9.49,0.77,0.16,0.81,0.04,0.16,0.81,0.04,2,Walking,1
2019-01-14,19:45:11,-2.1399999,-9.449999,0.91999996,0.16,0.81,0.04,0.16,0.81,0.04,2,Walking,1
2019-01-14,19:45:11,-2.1399999,-9.449999,0.91999996,0.11,0.78999996,0.08,0.11,0.78999996,0.08,2,Walking,1
2019-01-14,19:45:11,-1.85,-9.299999,1.0400001,0.11,0.78999996,0.08,0.11,0.78999996,0.08,2,Walking,1
2019-01-14,19:45:11,-1.85,-9.299999,1.0400001,0.03,0.76,0.12,0.03,0.76,0.12,2,Walking,1
2019-01-14,19:45:11,-1.9499999,-9.41,1.26,0.03,0.76,0.12,0.03,0.76,0.12,2,Walking,1
2019-01-14,19:45:11,-1.9499999,-9.41,1.26,-0.089999996,0.63,0.08,-0.089999996,0.63,0.08,2,Walking,1
2019-01-14,19:45:11,-2.09,-9.66,1.58,-0.089999996,0.63,0.08,-0.089999996,0.63,0.08,2,Walking,1
2019-01-14,19:45:11,-2.09,-9.66,1.58,-0.21,0.42,-0.01,-0.21,0.42,-0.01,2,Walking,1
2019-01-14,19:45:11,-2.51,-10.809999000000001,1.27,-0.21,0.42,-0.01,-0.21,0.42,-0.01,2,Walking,1
2019-01-14,19:45:11,-2.51,-10.809999000000001,1.27,-0.22999999,0.45999998,0.03,-0.22999999,0.45999998,0.03,2,Walking,1
2019-01-14,19:45:11,-2.79,-12.299999,1.3000001,-0.22999999,0.45999998,0.03,-0.22999999,0.45999998,0.03,2,Walking,1
2019-01-14,19:45:11,-2.79,-12.299999,1.3000001,-0.21,-0.03,-0.08,-0.21,-0.03,-0.08,2,Walking,1
2019-01-14,19:45:11,-2.82,-13.1,1.4,-0.21,-0.03,-0.08,-0.21,-0.03,-0.08,2,Walking,1
2019-01-14,19:45:11,-2.82,-13.1,1.4,-0.19999999,0.08,0.089999996,-0.19999999,0.08,0.089999996,2,Walking,1
