date,time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,Trial,activity,activity_number
2019-01-14,18:05:21,-3.6,-17.77,-0.04,-1.43,0.96,-5.49,-1.43,0.96,-5.49,1,Walking,1
2019-01-14,18:05:21,-4.2599998,-19.71,0.14999999,-1.8199999,0.79999995,-5.69,-1.8199999,0.79999995,-5.69,1,Walking,1
2019-01-14,18:05:21,-4.2599998,-19.71,0.14999999,-1.8199999,0.79999995,-5.69,-1.8199999,0.79999995,-5.69,1,Walking,1
2019-01-14,18:05:21,-5.7699995,-20.94,0.14999999,-1.8199999,0.79999995,-5.69,-1.8199999,0.79999995,-5.69,1,Walking,1
2019-01-14,18:05:21,-5.7699995,-20.94,0.14999999,-1.13,0.21,-4.61,-1.13,0.21,-4.61,1,Walking,1
2019-01-14,18:05:22,-4.0499997,-13.43,1.0500001,-1.13,0.21,-4.61,-1.13,0.21,-4.61,1,Walking,1
2019-01-14,18:05:22,-4.0499997,-13.43,1.0500001,-0.16,2.05,-2.31,-0.16,2.05,-2.31,1,Walking,1
2019-01-14,18:05:22,-4.5199995,-10.16,0.029999997,-0.16,2.05,-2.31,-0.16,2.05,-2.31,1,Walking,1
2019-01-14,18:05:22,-4.5199995,-10.16,0.029999997,-0.07,2.73,-1.15,-0.07,2.73,-1.15,1,Walking,1
2019-01-14,18:05:22,-5.8099995,-8.2,-0.22,-0.07,2.73,-1.15,-0.07,2.73,-1.15,1,Walking,1
2019-01-14,18:05:22,-5.8099995,-8.2,-0.22,-0.14,2.24,-0.74,-0.14,2.24,-0.74,1,Walking,1
2019-01-14,18:05:22,-6.1899996,-8.27,0.7,-0.14,0.63,-0.83,-0.14,0.63,-0.83,1,Walking,1
2019-01-14,18:05:22,-6.1899996,-8.27,0.7,-0.14,0.63,-0.83,-0.14,0.63,-0.83,1,Walking,1
2019-01-14,18:05:22,-5.99,-8.5,1.3000001,-0.14,0.63,-0.83,-0.14,0.63,-0.83,1,Walking,1
2019-01-14,18:05:22,-5.99,-8.5,1.3000001,-0.12,-1.39,-0.95,-0.12,-1.39,-0.95,1,Walking,1
2019-01-14,18:05:22,-6.0399995,-9.610000999999999,1.0400001,-0.12,-1.39,-0.95,-0.12,-1.39,-0.95,1,Walking,1
2019-01-14,18:05:22,-6.0399995,-9.610000999999999,1.0400001,-0.06,-1.92,-0.53999996,-0.06,-1.92,-0.53999996,1,Walking,1
2019-01-14,18:05:22,-5.4199996,-11.66,0.61999995,-0.06,-1.92,-0.53999996,-0.06,-1.92,-0.53999996,1,Walking,1
2019-01-14,18:05:22,-5.4199996,-11.66,0.61999995,0.14999999,-2.29,0.29,0.14999999,-2.29,0.29,1,Walking,1
2019-01-14,18:05:22,-4.43,-14.469999,0.029999997,0.14999999,-2.29,0.29,0.14999999,-2.29,0.29,1,Walking,1
2019-01-14,18:05:22,-4.43,-14.469999,0.029999997,0.72999996,-2.25,1.67,0.72999996,-2.25,1.67,1,Walking,1
2019-01-14,18:05:22,-4.4199996,-20.03,-1.8299999,0.72999996,-2.25,1.67,0.72999996,-2.25,1.67,1,Walking,1
2019-01-14,18:05:22,-4.4199996,-20.03,-1.8299999,1.23,-1.62,2.6499999,1.23,-1.62,2.6499999,1,Walking,1
2019-01-14,18:05:22,-3.8899998999999994,-19.17,-1.3899999,1.23,-1.62,2.6499999,1.23,-1.62,2.6499999,1,Walking,1
2019-01-14,18:05:22,-3.8899998999999994,-19.17,-1.3899999,1.42,-1.26,3.32,1.42,-1.26,3.32,1,Walking,1
2019-01-14,18:05:22,-3.19,-15.76,-1.9799999,1.42,-1.26,3.32,1.42,-1.26,3.32,1,Walking,1
2019-01-14,18:05:22,-3.19,-15.76,-1.9799999,1.39,-0.91999996,3.84,1.39,-0.91999996,3.84,1,Walking,1
2019-01-14,18:05:22,-2.1,-15.67,-3.52,1.5,-0.97999996,4.11,1.5,-0.97999996,4.11,1,Walking,1
2019-01-14,18:05:22,-2.1,-15.67,-3.52,1.5,-0.97999996,4.11,1.5,-0.97999996,4.11,1,Walking,1
2019-01-14,18:05:22,-1.9499999,-16.05,-3.11,1.5,-0.97999996,4.11,1.5,-0.97999996,4.11,1,Walking,1
2019-01-14,18:05:22,-1.9499999,-16.05,-3.11,1.28,-1.51,3.8999998999999996,1.28,-1.51,3.8999998999999996,1,Walking,1
2019-01-14,18:05:22,-1.9,-13.369998999999998,-2.37,1.28,-1.51,3.8999998999999996,1.28,-1.51,3.8999998999999996,1,Walking,1
2019-01-14,18:05:22,-1.9,-13.369998999999998,-2.37,0.76,-1.5899999,3.05,0.76,-1.5899999,3.05,1,Walking,1
2019-01-14,18:05:22,-1.4,-11.110000999999999,-1.68,0.76,-1.5899999,3.05,0.76,-1.5899999,3.05,1,Walking,1
2019-01-14,18:05:22,-1.4,-11.110000999999999,-1.68,0.72999996,-0.93,2.33,0.72999996,-0.93,2.33,1,Walking,1
2019-01-14,18:05:22,-1.11,-9.129999,-1.5099999,0.72999996,-0.93,2.33,0.72999996,-0.93,2.33,1,Walking,1
2019-01-14,18:05:22,-1.11,-9.129999,-1.5099999,0.84999996,-0.35,2.32,0.84999996,-0.35,2.32,1,Walking,1
2019-01-14,18:05:22,-0.42999998,-6.79,-1.0899999,0.84999996,-0.35,2.32,0.84999996,-0.35,2.32,1,Walking,1
2019-01-14,18:05:22,-0.42999998,-6.79,-1.0899999,0.48,0.31,2.07,0.48,0.31,2.07,1,Walking,1
2019-01-14,18:05:22,0.11,-6.0,-0.89,0.48,0.31,2.07,0.48,0.31,2.07,1,Walking,1
2019-01-14,18:05:22,0.11,-6.0,-0.89,0.08,0.51,1.48,0.08,0.51,1.48,1,Walking,1
2019-01-14,18:05:22,0.39,-5.67,-0.79,0.08,0.51,1.48,0.08,0.51,1.48,1,Walking,1
2019-01-14,18:05:22,0.39,-5.67,-0.79,-0.24,0.59,0.5,-0.24,0.59,0.5,1,Walking,1
2019-01-14,18:05:22,0.14999999,-9.369999,-0.8,-0.24,0.59,0.5,-0.24,0.59,0.5,1,Walking,1
2019-01-14,18:05:22,0.14999999,-9.369999,-0.8,-0.72999996,0.59,-1.61,-0.72999996,0.59,-1.61,1,Walking,1
2019-01-14,18:05:22,-0.16,-14.389999,-1.2399999,-0.72999996,0.59,-1.61,-0.72999996,0.59,-1.61,1,Walking,1
2019-01-14,18:05:22,-0.16,-14.389999,-1.2399999,-0.96999997,0.59,-3.3,-0.96999997,0.59,-3.3,1,Walking,1
2019-01-14,18:05:23,-2.3899999,-17.39,-0.76,-0.96999997,0.59,-3.3,-0.96999997,0.59,-3.3,1,Walking,1
2019-01-14,18:05:23,-2.3899999,-17.39,-0.76,-1.38,0.77,-4.9,-1.38,0.77,-4.9,1,Walking,1
2019-01-14,18:05:23,-3.9199998,-15.869998999999998,0.78999996,-1.38,0.77,-4.9,-1.38,0.77,-4.9,1,Walking,1
2019-01-14,18:05:23,-3.9199998,-15.869998999999998,0.78999996,-2.2,0.5,-5.7,-2.2,0.5,-5.7,1,Walking,1
2019-01-14,18:05:23,-4.45,-21.18,-0.060000002000000004,-2.2,0.5,-5.7,-2.2,0.5,-5.7,1,Walking,1
2019-01-14,18:05:23,-4.45,-21.18,-0.060000002000000004,-1.9599999,-0.26,-4.92,-1.9599999,-0.26,-4.92,1,Walking,1
2019-01-14,18:05:23,-4.7799997,-19.05,1.25,-1.9599999,-0.26,-4.92,-1.9599999,-0.26,-4.92,1,Walking,1
2019-01-14,18:05:23,-4.7799997,-19.05,1.25,-0.84,0.16,-3.76,-0.84,0.16,-3.76,1,Walking,1
2019-01-14,18:05:23,-4.0399995,-13.75,1.55,-0.84,0.16,-3.76,-0.84,0.16,-3.76,1,Walking,1
2019-01-14,18:05:23,-4.0399995,-13.75,1.55,-0.34,2.3999999,-2.1,-0.34,2.3999999,-2.1,1,Walking,1
2019-01-14,18:05:23,-4.91,-9.369999,0.35999998,-0.34,2.3999999,-2.1,-0.34,2.3999999,-2.1,1,Walking,1
2019-01-14,18:05:23,-4.91,-9.369999,0.35999998,-0.42,3.09,-0.78,-0.42,3.09,-0.78,1,Walking,1
2019-01-14,18:05:23,-5.8299994,-8.129999,0.45999998,-0.42,3.09,-0.78,-0.42,3.09,-0.78,1,Walking,1
2019-01-14,18:05:23,-5.8299994,-8.129999,0.45999998,-0.22,2.25,-0.51,-0.22,2.25,-0.51,1,Walking,1
2019-01-14,18:05:23,-6.2599998,-7.6299996,0.77,-0.22,2.25,-0.51,-0.22,2.25,-0.51,1,Walking,1
2019-01-14,18:05:23,-6.2599998,-7.6299996,0.77,-0.02,0.9,-0.7,-0.02,0.9,-0.7,1,Walking,1
2019-01-14,18:05:23,-6.0199995,-8.129999,-0.05,-0.02,0.9,-0.7,-0.02,0.9,-0.7,1,Walking,1
2019-01-14,18:05:23,-6.0199995,-8.129999,-0.05,0.09999999400000001,-1.16,-0.56,0.09999999400000001,-1.16,-0.56,1,Walking,1
2019-01-14,18:05:23,-6.99,-14.1,-0.65,0.09999999400000001,-1.16,-0.56,0.09999999400000001,-1.16,-0.56,1,Walking,1
2019-01-14,18:05:23,-6.99,-14.1,-0.65,0.07,-2.58,0.049999997000000004,0.07,-2.58,0.049999997000000004,1,Walking,1
2019-01-14,18:05:23,-5.47,-15.690001,-0.33,0.07,-2.58,0.049999997000000004,0.07,-2.58,0.049999997000000004,1,Walking,1
2019-01-14,18:05:23,-5.47,-15.690001,-0.33,0.19,-3.1599998,1.01,0.19,-3.1599998,1.01,1,Walking,1
2019-01-14,18:05:23,-3.9999998,-18.63,-0.73,0.19,-3.1599998,1.01,0.19,-3.1599998,1.01,1,Walking,1
2019-01-14,18:05:23,-3.9999998,-18.63,-0.73,0.75,-2.27,2.83,0.75,-2.27,2.83,1,Walking,1
2019-01-14,18:05:23,-3.19,-16.31,-1.3299999,0.75,-2.27,2.83,0.75,-2.27,2.83,1,Walking,1
