date,time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,Trial,activity,activity_number
2019-01-18,15:44:43,-4.3799996,-12.139999000000001,1.65,-0.95,3.26,-1.25,-0.95,3.26,-1.25,2,Walking,1
2019-01-18,15:44:43,-5.3999996,-14.65,0.93999994,-0.95,3.26,-1.25,-0.95,3.26,-1.25,2,Walking,1
2019-01-18,15:44:43,-5.3999996,-14.65,0.93999994,-0.25,2.48,-1.8399999,-0.25,2.48,-1.8399999,2,Walking,1
2019-01-18,15:44:43,-5.8099995,-14.24,0.99999994,-0.25,2.48,-1.8399999,-0.25,2.48,-1.8399999,2,Walking,1
2019-01-18,15:44:43,-5.8099995,-14.24,0.99999994,0.06,2.0,-1.68,0.06,2.0,-1.68,2,Walking,1
2019-01-18,15:44:43,-4.7299995,-9.549999,0.92999995,0.06,2.0,-1.68,0.06,2.0,-1.68,2,Walking,1
2019-01-18,15:44:43,-4.7299995,-9.549999,0.92999995,0.34,1.67,-1.2099999,0.34,1.67,-1.2099999,2,Walking,1
2019-01-18,15:44:43,-3.1699998,-7.83,0.35999998,0.34,1.67,-1.2099999,0.34,1.67,-1.2099999,2,Walking,1
2019-01-18,15:44:43,-3.1699998,-7.83,0.35999998,0.16,1.0,-0.59999996,0.16,1.0,-0.59999996,2,Walking,1
2019-01-18,15:44:43,-2.1399999,-10.190000999999999,0.29,0.16,1.0,-0.59999996,0.16,1.0,-0.59999996,2,Walking,1
2019-01-18,15:44:43,-2.1399999,-10.190000999999999,0.29,0.0,0.41,-0.26,0.0,0.41,-0.26,2,Walking,1
2019-01-18,15:44:43,-1.52,-11.719999000000001,0.46999997,0.0,0.41,-0.26,0.0,0.41,-0.26,2,Walking,1
2019-01-18,15:44:43,-1.52,-11.719999000000001,0.46999997,0.14999999,0.39999998,-0.37,0.14999999,0.39999998,-0.37,2,Walking,1
2019-01-18,15:44:43,-1.98,-10.049999,-0.33,0.14999999,0.39999998,-0.37,0.14999999,0.39999998,-0.37,2,Walking,1
2019-01-18,15:44:43,-1.98,-10.049999,-0.33,0.35999998,1.2099999,-0.41,0.35999998,1.2099999,-0.41,2,Walking,1
2019-01-18,15:44:43,-2.1,-9.530000999999999,0.029999997,0.35999998,1.2099999,-0.41,0.35999998,1.2099999,-0.41,2,Walking,1
2019-01-18,15:44:43,-2.1,-9.530000999999999,0.029999997,0.0,1.15,-0.22999999,0.0,1.15,-0.22999999,2,Walking,1
2019-01-18,15:44:43,-1.47,-9.75,1.0400001,-0.22,0.19,-0.26999998,-0.22,0.19,-0.26999998,2,Walking,1
2019-01-18,15:44:43,-1.47,-9.75,1.0400001,-0.22,0.19,-0.26999998,-0.22,0.19,-0.26999998,2,Walking,1
2019-01-18,15:44:43,-1.85,-10.059999000000001,1.3100001000000001,-0.22,0.19,-0.26999998,-0.22,0.19,-0.26999998,2,Walking,1
2019-01-18,15:44:43,-1.85,-10.059999000000001,1.3100001000000001,-0.19,0.37,-0.28,-0.19,0.37,-0.28,2,Walking,1
2019-01-18,15:44:43,-2.3799999,-9.619999,1.21,-0.19,0.37,-0.28,-0.19,0.37,-0.28,2,Walking,1
2019-01-18,15:44:43,-2.3799999,-9.619999,1.21,-0.24,0.66999996,-0.17999999,-0.24,0.66999996,-0.17999999,2,Walking,1
2019-01-18,15:44:43,-2.3,-9.83,1.83,-0.24,0.66999996,-0.17999999,-0.24,0.66999996,-0.17999999,2,Walking,1
2019-01-18,15:44:43,-2.3,-9.83,1.83,-0.38,0.21,-0.19,-0.38,0.21,-0.19,2,Walking,1
2019-01-18,15:44:43,-2.41,-9.77,2.12,-0.38,0.21,-0.19,-0.38,0.21,-0.19,2,Walking,1
2019-01-18,15:44:43,-2.41,-9.77,2.12,-0.42,-0.11,-0.17999999,-0.42,-0.11,-0.17999999,2,Walking,1
2019-01-18,15:44:43,-2.36,-10.16,2.16,-0.42,-0.11,-0.17999999,-0.42,-0.11,-0.17999999,2,Walking,1
2019-01-18,15:44:43,-2.36,-10.16,2.16,-0.39,-0.089999996,-0.04,-0.39,-0.089999996,-0.04,2,Walking,1
2019-01-18,15:44:43,-1.99,-10.77,1.67,-0.39,-0.089999996,-0.04,-0.39,-0.089999996,-0.04,2,Walking,1
2019-01-18,15:44:43,-1.99,-10.77,1.67,-0.26999998,-0.06,-0.01,-0.26999998,-0.06,-0.01,2,Walking,1
2019-01-18,15:44:43,-1.35,-10.48,0.82,-0.26999998,-0.06,-0.01,-0.26999998,-0.06,-0.01,2,Walking,1
2019-01-18,15:44:43,-1.35,-10.48,0.82,-0.21,0.14999999,0.04,-0.21,0.14999999,0.04,2,Walking,1
2019-01-18,15:44:43,-2.17,-13.289999,0.71999997,-0.21,0.14999999,0.04,-0.21,0.14999999,0.04,2,Walking,1
2019-01-18,15:44:43,-2.17,-13.289999,0.71999997,-0.32999998,0.14,0.01,-0.32999998,0.14,0.01,2,Walking,1
2019-01-18,15:44:43,-2.31,-13.029999,0.65,-0.32999998,0.14,0.01,-0.32999998,0.14,0.01,2,Walking,1
2019-01-18,15:44:44,-2.31,-13.029999,0.65,-0.32,-0.26,-0.22,-0.32,-0.26,-0.22,2,Walking,1
2019-01-18,15:44:44,-1.84,-10.67,0.120000005,-0.32,-0.26,-0.22,-0.32,-0.26,-0.22,2,Walking,1
2019-01-18,15:44:44,-1.84,-10.67,0.120000005,0.03,-0.32999998,-0.22999999,0.03,-0.32999998,-0.22999999,2,Walking,1
2019-01-18,15:44:44,-1.41,-11.219999000000001,-0.73,0.03,-0.32999998,-0.22999999,0.03,-0.32999998,-0.22999999,2,Walking,1
2019-01-18,15:44:44,-1.41,-11.219999000000001,-0.73,0.26,0.089999996,0.41,0.26,0.089999996,0.41,2,Walking,1
2019-01-18,15:44:44,-1.72,-10.57,-0.8,0.26,0.089999996,0.41,0.26,0.089999996,0.41,2,Walking,1
2019-01-18,15:44:44,-1.72,-10.57,-0.8,0.35999998,0.13,0.44,0.35999998,0.13,0.44,2,Walking,1
2019-01-18,15:44:44,-1.9399998999999999,-10.9,-0.89,0.35999998,0.13,0.44,0.35999998,0.13,0.44,2,Walking,1
2019-01-18,15:44:44,-1.9399998999999999,-10.9,-0.89,0.25,-0.31,0.44,0.25,-0.31,0.44,2,Walking,1
2019-01-18,15:44:44,-2.29,-10.66,-0.79,0.25,-0.31,0.44,0.25,-0.31,0.44,2,Walking,1
2019-01-18,15:44:44,-2.29,-10.66,-0.79,0.29999998,-0.51,0.42999998,0.29999998,-0.51,0.42999998,2,Walking,1
2019-01-18,15:44:44,-2.26,-10.309999000000001,-0.51,0.29999998,-0.51,0.42999998,0.29999998,-0.51,0.42999998,2,Walking,1
2019-01-18,15:44:44,-2.26,-10.309999000000001,-0.51,0.31,-0.56,0.56,0.31,-0.56,0.56,2,Walking,1
2019-01-18,15:44:44,-2.3799999,-11.15,-0.3,0.31,-0.56,0.56,0.31,-0.56,0.56,2,Walking,1
