date,time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,Trial,activity,activity_number
2019-01-18,16:00:32,-3.19,-7.19,1.57,0.41,0.39999998,0.089999996,0.41,0.39999998,0.089999996,4,Upstair,5
2019-01-18,16:00:32,-3.5,-7.52,0.84,0.41,0.39999998,0.089999996,0.41,0.39999998,0.089999996,4,Upstair,5
2019-01-18,16:00:32,-3.5,-7.52,0.84,0.38,0.53999996,-0.17999999,0.38,0.53999996,-0.17999999,4,Upstair,5
2019-01-18,16:00:32,-4.2999997,-8.44,0.95,0.38,0.53999996,-0.17999999,0.38,0.53999996,-0.17999999,4,Upstair,5
2019-01-18,16:00:32,-4.2999997,-8.44,0.95,0.29,0.65,-0.5,0.29,0.65,-0.5,4,Upstair,5
2019-01-18,16:00:32,-4.8099995,-8.84,0.98999995,0.29,0.65,-0.5,0.29,0.65,-0.5,4,Upstair,5
2019-01-18,16:00:32,-4.8099995,-8.84,0.98999995,0.14999999,0.47,-0.78,0.14999999,0.47,-0.78,4,Upstair,5
2019-01-18,16:00:32,-5.2599998,-9.75,1.58,0.049999997000000004,0.35,-0.72999996,0.049999997000000004,0.35,-0.72999996,4,Upstair,5
2019-01-18,16:00:32,-5.2599998,-9.75,1.58,0.049999997000000004,0.35,-0.72999996,0.049999997000000004,0.35,-0.72999996,4,Upstair,5
2019-01-18,16:00:32,-5.0099998,-9.379999,1.83,0.049999997000000004,0.35,-0.72999996,0.049999997000000004,0.35,-0.72999996,4,Upstair,5
2019-01-18,16:00:32,-5.0099998,-9.379999,1.83,0.0,0.51,-0.35999998,0.0,0.51,-0.35999998,4,Upstair,5
2019-01-18,16:00:32,-4.91,-8.93,2.29,0.0,0.51,-0.35999998,0.0,0.51,-0.35999998,4,Upstair,5
2019-01-18,16:00:32,-4.91,-8.93,2.29,-0.04,0.75,-0.08,-0.04,0.75,-0.08,4,Upstair,5
2019-01-18,16:00:32,-5.12,-8.389999000000001,2.34,-0.04,0.75,-0.08,-0.04,0.75,-0.08,4,Upstair,5
2019-01-18,16:00:32,-5.12,-8.389999000000001,2.34,0.0,0.83,-0.089999996,0.0,0.83,-0.089999996,4,Upstair,5
2019-01-18,16:00:32,-5.5499997,-8.949999,2.57,0.0,0.83,-0.089999996,0.0,0.83,-0.089999996,4,Upstair,5
2019-01-18,16:00:33,-5.5499997,-8.949999,2.57,-0.04,0.88,-0.14,-0.04,0.88,-0.14,4,Upstair,5
2019-01-18,16:00:33,-6.2799997,-10.48,1.28,-0.04,0.88,-0.14,-0.04,0.88,-0.14,4,Upstair,5
2019-01-18,16:00:33,-6.2799997,-10.48,1.28,0.02,0.98999995,0.0,0.02,0.98999995,0.0,4,Upstair,5
2019-01-18,16:00:33,-6.2099996,-12.91,1.37,0.02,0.98999995,0.0,0.02,0.98999995,0.0,4,Upstair,5
2019-01-18,16:00:33,-6.2099996,-12.91,1.37,-0.07,0.79999995,0.31,-0.07,0.79999995,0.31,4,Upstair,5
2019-01-18,16:00:33,-6.099999400000001,-15.5,0.90999997,-0.07,0.79999995,0.31,-0.07,0.79999995,0.31,4,Upstair,5
2019-01-18,16:00:33,-6.099999400000001,-15.5,0.90999997,0.089999996,0.74,0.32999998,0.089999996,0.74,0.32999998,4,Upstair,5
2019-01-18,16:00:33,-5.7,-16.5,0.92999995,0.089999996,0.74,0.32999998,0.089999996,0.74,0.32999998,4,Upstair,5
2019-01-18,16:00:33,-5.7,-16.5,0.92999995,0.24,0.82,0.42,0.24,0.82,0.42,4,Upstair,5
2019-01-18,16:00:33,-4.47,-10.780000999999999,0.97999996,0.24,0.82,0.42,0.24,0.82,0.42,4,Upstair,5
2019-01-18,16:00:33,-4.47,-10.780000999999999,0.97999996,0.58,0.83,0.32999998,0.58,0.83,0.32999998,4,Upstair,5
2019-01-18,16:00:33,-3.4199998,-7.95,0.9,0.58,0.83,0.32999998,0.58,0.83,0.32999998,4,Upstair,5
2019-01-18,16:00:33,-3.4199998,-7.95,0.9,0.75,0.87,0.29,0.75,0.87,0.29,4,Upstair,5
2019-01-18,16:00:33,-3.58,-8.629999,0.47999996,0.75,0.87,0.29,0.75,0.87,0.29,4,Upstair,5
2019-01-18,16:00:33,-3.58,-8.629999,0.47999996,0.75,1.03,0.35,0.75,1.03,0.35,4,Upstair,5
2019-01-18,16:00:33,-3.6399998999999994,-9.42,-0.010000002,0.75,1.03,0.35,0.75,1.03,0.35,4,Upstair,5
2019-01-18,16:00:33,-3.6399998999999994,-9.42,-0.010000002,0.87,0.45999998,0.04,0.87,0.45999998,0.04,4,Upstair,5
2019-01-18,16:00:33,-3.24,-8.08,0.37999997,0.90999997,0.42999998,0.01,0.90999997,0.42999998,0.01,4,Upstair,5
2019-01-18,16:00:33,-3.24,-8.08,0.37999997,0.90999997,0.42999998,0.01,0.90999997,0.42999998,0.01,4,Upstair,5
