date,time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,Trial,activity,activity_number
2019-01-20,15:56:21,-0.75,-15.99,-0.35,-0.16,-0.90999997,-0.22,-0.16,-0.90999997,-0.22,4,Walking,1
2019-01-20,15:56:21,-1.11,-13.369998999999998,-0.120000005,-0.16,-0.90999997,-0.22,-0.16,-0.90999997,-0.22,4,Walking,1
2019-01-20,15:56:21,-1.11,-13.369998999999998,-0.120000005,0.45,-1.14,-0.03,0.45,-1.14,-0.03,4,Walking,1
2019-01-20,15:56:21,-0.86,-10.629999,-0.32,0.45,-1.14,-0.03,0.45,-1.14,-0.03,4,Walking,1
2019-01-20,15:56:21,-0.86,-10.629999,-0.32,0.93,-1.02,0.26999998,0.93,-1.02,0.26999998,4,Walking,1
2019-01-20,15:56:21,-0.77,-9.91,-1.1899998999999999,0.93,-1.02,0.26999998,0.93,-1.02,0.26999998,4,Walking,1
2019-01-20,15:56:21,-0.77,-9.91,-1.1899998999999999,1.24,-1.01,0.38,1.24,-1.01,0.38,4,Walking,1
2019-01-20,15:56:21,-0.73,-9.889999000000001,-2.1399999,1.24,-1.01,0.38,1.24,-1.01,0.38,4,Walking,1
2019-01-20,15:56:21,-0.73,-9.889999000000001,-2.1399999,1.11,-1.5699999,-0.04,1.11,-1.5699999,-0.04,4,Walking,1
2019-01-20,15:56:21,-1.04,-9.84,-1.8499999,1.11,-1.5699999,-0.04,1.11,-1.5699999,-0.04,4,Walking,1
2019-01-20,15:56:21,-1.04,-9.84,-1.8499999,0.79999995,-1.92,-0.53999996,0.79999995,-1.92,-0.53999996,4,Walking,1
2019-01-20,15:56:22,-1.39,-9.99,-1.5199999,0.79999995,-1.92,-0.53999996,0.79999995,-1.92,-0.53999996,4,Walking,1
2019-01-20,15:56:22,-1.39,-9.99,-1.5199999,0.48,-1.5,-0.75,0.48,-1.5,-0.75,4,Walking,1
2019-01-20,15:56:22,-1.67,-10.0,-1.4399998999999999,0.48,-1.5,-0.75,0.48,-1.5,-0.75,4,Walking,1
2019-01-20,15:56:22,-1.67,-10.0,-1.4399998999999999,0.35,-0.65,-0.5,0.35,-0.65,-0.5,4,Walking,1
2019-01-20,15:56:22,-1.77,-10.379999,-1.4499999,0.35,-0.65,-0.5,0.35,-0.65,-0.5,4,Walking,1
2019-01-20,15:56:22,-1.77,-10.379999,-1.4499999,0.38,-0.51,-0.34,0.38,-0.51,-0.34,4,Walking,1
2019-01-20,15:56:22,-1.31,-10.549999,-1.1199999,0.38,-0.51,-0.34,0.38,-0.51,-0.34,4,Walking,1
2019-01-20,15:56:22,-1.31,-10.549999,-1.1199999,0.38,-0.19999999,0.0,0.38,-0.19999999,0.0,4,Walking,1
2019-01-20,15:56:22,-0.73,-12.059999000000001,-1.3799999,0.38,-0.19999999,0.0,0.38,-0.19999999,0.0,4,Walking,1
2019-01-20,15:56:22,-0.73,-12.059999000000001,-1.3799999,0.39999998,0.25,0.29,0.39999998,0.25,0.29,4,Walking,1
2019-01-20,15:56:22,-0.11,-13.15,-1.6499999,0.39999998,0.25,0.29,0.39999998,0.25,0.29,4,Walking,1
2019-01-20,15:56:22,-0.11,-13.15,-1.6499999,0.14999999,0.5,0.38,0.14999999,0.5,0.38,4,Walking,1
2019-01-20,15:56:22,0.74999994,-11.889999000000001,-0.76,0.14999999,0.5,0.38,0.14999999,0.5,0.38,4,Walking,1
2019-01-20,15:56:22,0.74999994,-11.889999000000001,-0.76,-0.14,0.16,0.25,-0.14,0.16,0.25,4,Walking,1
2019-01-20,15:56:22,2.36,-10.690000999999999,0.61999995,-0.14,0.16,0.25,-0.14,0.16,0.25,4,Walking,1
2019-01-20,15:56:22,2.36,-10.690000999999999,0.61999995,-0.47,0.24,0.089999996,-0.47,0.24,0.089999996,4,Walking,1
2019-01-20,15:56:22,1.8,-10.9,0.45999998,-0.47,0.24,0.089999996,-0.47,0.24,0.089999996,4,Walking,1
2019-01-20,15:56:22,1.8,-10.9,0.45999998,-0.32,0.81,-0.28,-0.32,0.81,-0.28,4,Walking,1
2019-01-20,15:56:22,0.9,-9.82,-0.26,-0.32,0.81,-0.28,-0.32,0.81,-0.28,4,Walking,1
2019-01-20,15:56:22,0.9,-9.82,-0.26,-0.17,1.2099999,-0.37,-0.17,1.2099999,-0.37,4,Walking,1
2019-01-20,15:56:22,0.59,-8.969999000000001,-0.90999997,-0.17,1.2099999,-0.37,-0.17,1.2099999,-0.37,4,Walking,1
2019-01-20,15:56:22,0.59,-8.969999000000001,-0.90999997,-0.06,1.55,-0.22,-0.06,1.55,-0.22,4,Walking,1
2019-01-20,15:56:22,0.65999997,-9.119999,-0.48,-0.06,1.55,-0.22,-0.06,1.55,-0.22,4,Walking,1
2019-01-20,15:56:22,0.65999997,-9.119999,-0.48,-0.65,1.14,-0.22999999,-0.65,1.14,-0.22999999,4,Walking,1
2019-01-20,15:56:22,0.98999995,-9.34,0.33999997,-0.65,1.14,-0.22999999,-0.65,1.14,-0.22999999,4,Walking,1
2019-01-20,15:56:22,0.98999995,-9.34,0.33999997,-0.97999996,0.53999996,-0.39999998,-0.97999996,0.53999996,-0.39999998,4,Walking,1
2019-01-20,15:56:22,0.93999994,-9.26,0.69,-0.97999996,0.53999996,-0.39999998,-0.97999996,0.53999996,-0.39999998,4,Walking,1
2019-01-20,15:56:22,0.93999994,-9.26,0.69,-1.05,0.48999998,-0.48999998,-1.05,0.48999998,-0.48999998,4,Walking,1
2019-01-20,15:56:22,0.1,-9.889999000000001,0.039999995,-1.05,0.48999998,-0.48999998,-1.05,0.48999998,-0.48999998,4,Walking,1
2019-01-20,15:56:22,0.1,-9.889999000000001,0.039999995,-0.88,0.84,-0.32999998,-0.88,0.84,-0.32999998,4,Walking,1
2019-01-20,15:56:22,0.17,-10.809999000000001,0.29999998,-0.88,0.84,-0.32999998,-0.88,0.84,-0.32999998,4,Walking,1
2019-01-20,15:56:22,0.17,-10.809999000000001,0.29999998,-1.13,0.42999998,-0.21,-1.13,0.42999998,-0.21,4,Walking,1
2019-01-20,15:56:22,1.28,-9.08,2.32,-1.13,0.42999998,-0.21,-1.13,0.42999998,-0.21,4,Walking,1
2019-01-20,15:56:22,1.28,-9.08,2.32,-1.25,0.11,-0.08,-1.25,0.11,-0.08,4,Walking,1
2019-01-20,15:56:22,1.3499999,-9.949999,2.45,-1.25,0.11,-0.08,-1.25,0.11,-0.08,4,Walking,1
2019-01-20,15:56:22,1.3499999,-9.949999,2.45,-0.94,0.04,-0.03,-0.94,0.04,-0.03,4,Walking,1
2019-01-20,15:56:22,0.32999998,-11.92,1.54,-0.94,0.04,-0.03,-0.94,0.04,-0.03,4,Walking,1
2019-01-20,15:56:22,0.32999998,-11.92,1.54,-0.37,0.03,-0.06,-0.37,0.03,-0.06,4,Walking,1
2019-01-20,15:56:22,-0.79,-13.529998999999998,-0.07,-0.37,0.03,-0.06,-0.37,0.03,-0.06,4,Walking,1
2019-01-20,15:56:22,-0.79,-13.529998999999998,-0.07,0.21,0.45,0.34,0.21,0.45,0.34,4,Walking,1
2019-01-20,15:56:22,-0.67,-14.459999,-0.26,0.21,0.45,0.34,0.21,0.45,0.34,4,Walking,1
2019-01-20,15:56:23,-0.67,-14.459999,-0.26,0.29999998,0.53,0.62,0.29999998,0.53,0.62,4,Walking,1
2019-01-20,15:56:23,-1.87,-16.4,-1.1199999,0.29999998,0.53,0.62,0.29999998,0.53,0.62,4,Walking,1
2019-01-20,15:56:23,-1.87,-16.4,-1.1199999,0.51,0.35999998,0.63,0.51,0.35999998,0.63,4,Walking,1
2019-01-20,15:56:23,-1.56,-12.190000999999999,-0.58,0.51,0.35999998,0.63,0.51,0.35999998,0.63,4,Walking,1
2019-01-20,15:56:23,-1.56,-12.190000999999999,-0.58,0.89,-1.0699999,0.71999997,0.89,-1.0699999,0.71999997,4,Walking,1
2019-01-20,15:56:23,-0.7,-11.23,-0.62,0.89,-1.0699999,0.71999997,0.89,-1.0699999,0.71999997,4,Walking,1
2019-01-20,15:56:23,-0.7,-11.23,-0.62,1.15,-1.81,0.89,1.15,-1.81,0.89,4,Walking,1
2019-01-20,15:56:23,-0.93,-11.48,-2.26,1.15,-1.81,0.89,1.15,-1.81,0.89,4,Walking,1
2019-01-20,15:56:23,-0.93,-11.48,-2.26,1.65,-2.11,0.68,1.65,-2.11,0.68,4,Walking,1
2019-01-20,15:56:23,-1.0,-10.65,-1.3499999,1.65,-2.11,0.68,1.65,-2.11,0.68,4,Walking,1
2019-01-20,15:56:23,-1.0,-10.65,-1.3499999,1.18,-2.1399999,0.21,1.18,-2.1399999,0.21,4,Walking,1
2019-01-20,15:56:23,-1.25,-10.66,-1.7699999,1.18,-2.1399999,0.21,1.18,-2.1399999,0.21,4,Walking,1
2019-01-20,15:56:23,-1.25,-10.66,-1.7699999,1.3399999,-1.2099999,0.28,1.3399999,-1.2099999,0.28,4,Walking,1
2019-01-20,15:56:23,-0.98,-10.199999,-1.78,1.3399999,-1.2099999,0.28,1.3399999,-1.2099999,0.28,4,Walking,1
2019-01-20,15:56:23,-0.98,-10.199999,-1.78,1.1899998999999999,-0.98999995,0.34,1.1899998999999999,-0.98999995,0.34,4,Walking,1
2019-01-20,15:56:23,-0.16999999,-8.549999,-0.64,1.1899998999999999,-0.98999995,0.34,1.1899998999999999,-0.98999995,0.34,4,Walking,1
2019-01-20,15:56:23,-0.16999999,-8.549999,-0.64,0.74,-0.84,0.22999999,0.74,-0.84,0.22999999,4,Walking,1
2019-01-20,15:56:23,0.48999998,-9.049999,-3.7252903e-09,0.74,-0.84,0.22999999,0.74,-0.84,0.22999999,4,Walking,1
2019-01-20,15:56:23,0.48999998,-9.049999,-3.7252903e-09,0.24,-0.47,0.14999999,0.24,-0.47,0.14999999,4,Walking,1
2019-01-20,15:56:23,0.98999995,-10.209999,0.42999998,0.24,-0.47,0.14999999,0.24,-0.47,0.14999999,4,Walking,1
2019-01-20,15:56:23,0.98999995,-10.209999,0.42999998,-0.38,-0.28,-0.04,-0.38,-0.28,-0.04,4,Walking,1
2019-01-20,15:56:23,1.04,-10.84,0.40999997,-0.38,-0.28,-0.04,-0.38,-0.28,-0.04,4,Walking,1
2019-01-20,15:56:23,1.04,-10.84,0.40999997,-0.61,-0.39,-0.26999998,-0.61,-0.39,-0.26999998,4,Walking,1
2019-01-20,15:56:23,2.24,-12.08,1.45,-0.61,-0.39,-0.26999998,-0.61,-0.39,-0.26999998,4,Walking,1
2019-01-20,15:56:23,2.24,-12.08,1.45,-1.06,-0.44,-0.45999998,-1.06,-0.44,-0.45999998,4,Walking,1
2019-01-20,15:56:23,1.8599999,-12.539999,0.96,-1.06,-0.44,-0.45999998,-1.06,-0.44,-0.45999998,4,Walking,1
2019-01-20,15:56:23,1.8599999,-12.539999,0.96,-0.93,0.17,-0.57,-0.93,0.17,-0.57,4,Walking,1
2019-01-20,15:56:23,1.28,-13.119998999999998,-0.42000002,-0.93,0.17,-0.57,-0.93,0.17,-0.57,4,Walking,1
2019-01-20,15:56:23,1.28,-13.119998999999998,-0.42000002,-0.64,0.91999996,-0.63,-0.64,0.91999996,-0.63,4,Walking,1
2019-01-20,15:56:23,0.2,-14.25,-1.66,-0.64,0.91999996,-0.63,-0.64,0.91999996,-0.63,4,Walking,1
2019-01-20,15:56:23,0.2,-14.25,-1.66,-0.7,1.39,-0.81,-0.7,1.39,-0.81,4,Walking,1
2019-01-20,15:56:23,-0.94,-12.18,-1.31,-0.7,1.39,-0.81,-0.7,1.39,-0.81,4,Walking,1
2019-01-20,15:56:23,-0.94,-12.18,-1.31,-0.85999995,1.87,-1.02,-0.85999995,1.87,-1.02,4,Walking,1
2019-01-20,15:56:23,-0.79,-8.68,0.57,-0.85999995,1.87,-1.02,-0.85999995,1.87,-1.02,4,Walking,1
2019-01-20,15:56:23,-0.79,-8.68,0.57,-1.06,1.76,-0.64,-1.06,1.76,-0.64,4,Walking,1
2019-01-20,15:56:23,-1.0,-9.52,-0.43,-1.06,1.76,-0.64,-1.06,1.76,-0.64,4,Walking,1
2019-01-20,15:56:23,-1.0,-9.52,-0.43,-0.45999998,1.41,-0.48999998,-0.45999998,1.41,-0.48999998,4,Walking,1
2019-01-20,15:56:23,-1.36,-10.539999,-1.3499999,-0.45999998,1.41,-0.48999998,-0.45999998,1.41,-0.48999998,4,Walking,1
2019-01-20,15:56:23,-1.36,-10.539999,-1.3499999,-0.25,0.97999996,-0.5,-0.25,0.97999996,-0.5,4,Walking,1
2019-01-20,15:56:23,-2.02,-9.9,-1.54,-0.25,0.97999996,-0.5,-0.25,0.97999996,-0.5,4,Walking,1
2019-01-20,15:56:24,-2.02,-9.9,-1.54,-0.42,1.01,-0.28,-0.42,1.01,-0.28,4,Walking,1
2019-01-20,15:56:24,-1.73,-9.24,-1.3499999,-0.42,1.01,-0.28,-0.42,1.01,-0.28,4,Walking,1
2019-01-20,15:56:24,-1.73,-9.24,-1.3499999,-0.55,1.16,0.16,-0.55,1.16,0.16,4,Walking,1
2019-01-20,15:56:24,-0.84000003,-9.139999000000001,-0.68,-0.55,1.16,0.16,-0.55,1.16,0.16,4,Walking,1
2019-01-20,15:56:24,-0.84000003,-9.139999000000001,-0.68,-1.0699999,1.29,0.64,-1.0699999,1.29,0.64,4,Walking,1
2019-01-20,15:56:24,0.01,-9.99,-0.04,-1.0699999,1.29,0.64,-1.0699999,1.29,0.64,4,Walking,1
2019-01-20,15:56:24,0.01,-9.99,-0.04,-1.15,1.01,0.59,-1.15,1.01,0.59,4,Walking,1
2019-01-20,15:56:24,0.61999995,-10.26,1.25,-1.15,1.01,0.59,-1.15,1.01,0.59,4,Walking,1
2019-01-20,15:56:24,0.61999995,-10.26,1.25,-1.3299999,0.26999998,0.16,-1.3299999,0.26999998,0.16,4,Walking,1
2019-01-20,15:56:24,2.08,-11.85,3.27,-1.3299999,0.26999998,0.16,-1.3299999,0.26999998,0.16,4,Walking,1
2019-01-20,15:56:24,2.08,-11.85,3.27,-1.49,-0.38,0.049999997000000004,-1.49,-0.38,0.049999997000000004,4,Walking,1
2019-01-20,15:56:24,1.8799999,-13.449998999999998,3.9599998,-1.49,-0.38,0.049999997000000004,-1.49,-0.38,0.049999997000000004,4,Walking,1
2019-01-20,15:56:24,1.8799999,-13.449998999999998,3.9599998,-1.23,-0.82,-0.19,-1.23,-0.82,-0.19,4,Walking,1
2019-01-20,15:56:24,0.29999998,-13.02,2.81,-1.23,-0.82,-0.19,-1.23,-0.82,-0.19,4,Walking,1
2019-01-20,15:56:24,0.29999998,-13.02,2.81,-0.24,-0.96999997,-0.38,-0.24,-0.96999997,-0.38,4,Walking,1
2019-01-20,15:56:24,-0.14,-12.4,1.42,-0.24,-0.96999997,-0.38,-0.24,-0.96999997,-0.38,4,Walking,1
2019-01-20,15:56:24,-0.14,-12.4,1.42,0.83,-0.95,-0.17,0.83,-0.95,-0.17,4,Walking,1
2019-01-20,15:56:24,-1.08,-15.129999,-1.1899998999999999,0.83,-0.95,-0.17,0.83,-0.95,-0.17,4,Walking,1
2019-01-20,15:56:24,-1.08,-15.129999,-1.1899998999999999,1.54,0.19999999,0.59999996,1.54,0.19999999,0.59999996,4,Walking,1
2019-01-20,15:56:24,-2.32,-16.33,-2.75,1.54,0.19999999,0.59999996,1.54,0.19999999,0.59999996,4,Walking,1
2019-01-20,15:56:24,-2.32,-16.33,-2.75,1.62,0.01,0.61,1.62,0.01,0.61,4,Walking,1
2019-01-20,15:56:24,-1.85,-12.449999,-1.79,1.62,0.01,0.61,1.62,0.01,0.61,4,Walking,1
2019-01-20,15:56:24,-1.85,-12.449999,-1.79,1.3299999,-1.51,0.41,1.3299999,-1.51,0.41,4,Walking,1
2019-01-20,15:56:24,-1.42,-10.619999,-0.96999997,1.3299999,-1.51,0.41,1.3299999,-1.51,0.41,4,Walking,1
2019-01-20,15:56:24,-1.42,-10.619999,-0.96999997,1.29,-1.9,0.42999998,1.29,-1.9,0.42999998,4,Walking,1
2019-01-20,15:56:24,-1.17,-11.16,-1.5799999,1.29,-1.9,0.42999998,1.29,-1.9,0.42999998,4,Walking,1
2019-01-20,15:56:24,-1.17,-11.16,-1.5799999,1.62,-1.9699999,0.45,1.62,-1.9699999,0.45,4,Walking,1
2019-01-20,15:56:24,-1.04,-10.9,-2.1499999,1.62,-1.9699999,0.45,1.62,-1.9699999,0.45,4,Walking,1
